epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2227.75,1.47936,1.15668,1.17794,0.46843,0.31232,0.30937,0.16196,1.83744,1.49849,1.46937,0.002575,0.002575,0.002575
77,2257.7,1.47006,1.1444,1.16944,0.45243,0.30244,0.30596,0.16116,1.84221,1.52283,1.46486,0.002476,0.002476,0.002476
78,2288.31,1.46443,1.15219,1.17267,0.46997,0.30068,0.30694,0.16224,1.81516,1.49733,1.44536,0.002377,0.002377,0.002377
79,2317.94,1.47018,1.14812,1.17178,0.50057,0.29349,0.29255,0.1514,1.84566,1.52692,1.47265,0.002278,0.002278,0.002278
80,2347.57,1.451,1.12396,1.16408,0.48868,0.30464,0.30244,0.16031,1.82787,1.49479,1.47508,0.002179,0.002179,0.002179
81,2377.64,1.45274,1.12621,1.1597,0.4818,0.31128,0.31152,0.16456,1.80596,1.47279,1.45505,0.00208,0.00208,0.00208
82,2406.88,1.44963,1.14443,1.15538,0.46132,0.30148,0.30215,0.15803,1.83652,1.52349,1.47547,0.001981,0.001981,0.001981
83,2436.11,1.43611,1.12346,1.15552,0.46908,0.30037,0.30844,0.16119,1.82869,1.50873,1.45713,0.001882,0.001882,0.001882
84,2466.17,1.4327,1.11478,1.1542,0.48381,0.30461,0.30538,0.15975,1.84522,1.51556,1.47107,0.001783,0.001783,0.001783
85,2495.38,1.42513,1.11994,1.14471,0.47324,0.29964,0.30984,0.16184,1.84834,1.49411,1.47244,0.001684,0.001684,0.001684
86,2524.65,1.42166,1.09922,1.14739,0.60761,0.30729,0.3207,0.17257,1.79704,1.45691,1.43721,0.001585,0.001585,0.001585
87,2554.71,1.42713,1.10632,1.14618,0.48942,0.30996,0.31747,0.17267,1.81045,1.4701,1.45062,0.001486,0.001486,0.001486
88,2583.94,1.42126,1.10048,1.14637,0.47215,0.30184,0.30545,0.16286,1.80669,1.48904,1.44437,0.001387,0.001387,0.001387
89,2613.12,1.41329,1.10011,1.14065,0.48192,0.30868,0.31205,0.16837,1.7937,1.47367,1.43979,0.001288,0.001288,0.001288
90,2643.33,1.41544,1.10798,1.14754,0.47247,0.30998,0.31,0.17047,1.78639,1.47366,1.44258,0.001189,0.001189,0.001189
91,2672.45,1.39659,1.11448,1.21381,0.46508,0.30672,0.30798,0.16503,1.82056,1.48133,1.46171,0.00109,0.00109,0.00109
92,2700.72,1.35752,1.08685,1.189,0.47591,0.29675,0.29691,0.1572,1.84148,1.51988,1.48116,0.000991,0.000991,0.000991
93,2729.62,1.34356,1.07294,1.17309,0.50159,0.30746,0.30442,0.16208,1.82302,1.49289,1.46067,0.000892,0.000892,0.000892
94,2757.87,1.33599,1.05746,1.17464,0.46248,0.30338,0.30338,0.16272,1.81242,1.4867,1.46106,0.000793,0.000793,0.000793
95,2786.29,1.32654,1.06121,1.17216,0.48006,0.30669,0.30569,0.16293,1.82076,1.47612,1.45784,0.000694,0.000694,0.000694
96,2814.51,1.32574,1.05905,1.17383,0.49376,0.30756,0.30912,0.16541,1.80817,1.47404,1.45751,0.000595,0.000595,0.000595
97,2843.4,1.31861,1.04862,1.16547,0.49607,0.30469,0.30178,0.16095,1.82536,1.49619,1.47376,0.000496,0.000496,0.000496
98,2871.37,1.31931,1.05294,1.16842,0.4888,0.30591,0.30882,0.16581,1.8086,1.47334,1.45896,0.000397,0.000397,0.000397
99,2899.42,1.30795,1.05015,1.17002,0.4693,0.30672,0.3043,0.1617,1.81205,1.48817,1.46637,0.000298,0.000298,0.000298
100,2927.37,1.3072,1.04161,1.16122,0.48145,0.30858,0.30807,0.16523,1.80622,1.47358,1.46114,0.000199,0.000199,0.000199
